"","ortho_id","top_hit"
"837","clust_0837","Two-component response regulator"
"838","clust_0838","RumE protein"
"839","clust_0839","ABC transporter protein, putative"
"840","clust_0840","hypothetical protein"
"841","clust_0841","SSU ribosomal protein S1p"
"842","clust_0842","hypothetical protein"
"843","clust_0843","FIG00672320: hypothetical protein"
"844","clust_0844","FIG00672124: hypothetical protein"
"845","clust_0845","ABC transporter, ATP-binding protein"
"846","clust_0846","FIG00672307: hypothetical protein"
"847","clust_0847","GTP-binding protein Era"
"848","clust_0848","hypothetical protein"
"849","clust_0849","Glutamate 5-kinase (EC 2.7.2.11)"
"850","clust_0850","Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)"
"851","clust_0851","LSU ribosomal protein L34p"
"852","clust_0852","possible acetyltransferase"
"853","clust_0853","COG1835: Predicted acyltransferases"
"854","clust_0854","Cell division initiation protein DivIVA"
"855","clust_0855","Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.-)"
"856","clust_0856","tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)"
"857","clust_0857","Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)"
"858","clust_0858","FIG00672151: hypothetical protein"
"859","clust_0859","FIG00672535: hypothetical protein"
"860","clust_0860","DNA topoisomerase I (EC 5.99.1.2)"
"861","clust_0861","Phosphate starvation-inducible protein PhoH, predicted ATPase"
"862","clust_0862","Iojap protein"
"863","clust_0863","Zinc uptake regulation protein ZUR"
"864","clust_0864","FIG00672389: hypothetical protein"
"865","clust_0865","dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"
"866","clust_0866","FIG00669172: hypothetical protein"
"867","clust_0867","1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)"
"868","clust_0868","Probable protease htpX homolog"
"869","clust_0869","FIG00672020: hypothetical protein"
"870","clust_0870","Translation initiation factor 1"
"871","clust_0871","LSU ribosomal protein L28p"
"872","clust_0872","Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)"
"873","clust_0873","Alanyl-tRNA synthetase (EC 6.1.1.7)"
"874","clust_0874","FIG00672439: hypothetical protein"
"875","clust_0875","Tyrosine recombinase XerC"
"876","clust_0876","HTH DNA-binding protein"
"877","clust_0877","FIG00672445: hypothetical protein"
"878","clust_0878","LemA PROTEIN"
"879","clust_0879","FIG042796: Hypothetical protein"
"880","clust_0880","hypothetical protein"
"881","clust_0881","FIG00672241: hypothetical protein"
"882","clust_0882","Pyrrolidone-carboxylate peptidase (EC 3.4.19.3)"
"883","clust_0883","FIG00672186: hypothetical protein"
"884","clust_0884","ABC transporter, ATP-binding protein"
"885","clust_0885","transcriptional regulator, LacI family"
"886","clust_0886","Neopullulanase (EC 3.2.1.135)"
"887","clust_0887","sugar binding-protein dependent transporter system permease"
"888","clust_0888","N-Acetyl-D-glucosamine ABC transport system, permease protein 1"
"889","clust_0889","Sugar ABC transporter, periplasmic sugar-binding protein"
"890","clust_0890","FIG00672035: hypothetical protein"
"891","clust_0891","ATP-dependent RNA helicase"
"892","clust_0892","FIG00672402: hypothetical protein"
"893","clust_0893","Regulator of polyketide synthase expression"
"894","clust_0894","LSU ribosomal protein L27p"
"895","clust_0895","Thiol-activated cytolysin"
"896","clust_0896","2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)"
"897","clust_0897","FIG00672260: hypothetical protein"
"898","clust_0898","LSU ribosomal protein L24p (L26e)"
"899","clust_0899","3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)"
"900","clust_0900","Tyrosine recombinase XerD"
"901","clust_0901","FIG00672227: hypothetical protein"
"902","clust_0902","Pyrrolidone-carboxylate peptidase (EC 3.4.19.3)"
"903","clust_0903","FIG00672383: hypothetical protein"
"904","clust_0904","COG0657: Esterase/lipase"
"905","clust_0905","hypothetical protein"
"906","clust_0906","Aspartate aminotransferase (EC 2.6.1.1)"
"907","clust_0907","tRNA-guanine transglycosylase (EC 2.4.2.29)"
"908","clust_0908","LSU ribosomal protein L23p (L23Ae)"
"909","clust_0909","LSU ribosomal protein L30p (L7e)"
"910","clust_0910","Diphosphomevalonate decarboxylase (EC 4.1.1.33)"
"911","clust_0911","Methionine ABC transporter ATP-binding protein"
"912","clust_0912","ABC-type transporter, permease component"
"913","clust_0913","RNA methyltransferase, TrmA family"
"914","clust_0914","hypothetical protein"
"915","clust_0915","Daunorubicin resistance ATP-binding protein drrA"
"916","clust_0916","ABC-2 type transporter"
"917","clust_0917","Sialidase (EC 3.2.1.18)"
"918","clust_0918","Glucosamine-6-phosphate deaminase (EC 3.5.99.6)"
"919","clust_0919","Dihydrodipicolinate synthase (EC 4.2.1.52)"
"920","clust_0920","FIG00547092: hypothetical protein"
"921","clust_0921","FIG00544816: hypothetical protein"
"922","clust_0922","Maltodextrin glucosidase (EC 3.2.1.20)"
"923","clust_0923","hypothetical protein"
"924","clust_0924","ABC-type amino acid transport system, permease component"
"925","clust_0925","FIG01279648: hypothetical protein"
"926","clust_0926","[Acyl-carrier-protein] acetyl transferase of FASI (EC 2.3.1.38) / Enoyl-[acyl-carrier-protein] reductase of FASI (EC 1.3.1.9) / 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase of FASI (EC 4.2.1.61) / [Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39) / [Acyl-carrier-protein] palmitoyl transferase of FASI (EC 2.3.1.-) / Acyl carrier protein of FASI / 3-oxoacyl-[acyl-carrier-protein] reductase of FASI (EC 1.1.1.100) / 3-oxoacyl-[acyl-carrier-protein] synthase of FASI (EC 2.3.1.41)"
"927","clust_0927","Isopentenyl-diphosphate delta-isomerase, FMN-dependent (EC 5.3.3.2)"
"928","clust_0928","Ribonuclease III (EC 3.1.26.3)"
"929","clust_0929","Substrate-specific component TrpP of tryptophan ECF transporter"
"930","clust_0930","COG2186: Transcriptional regulators"
"931","clust_0931","N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)"
"932","clust_0932","Putative transport system secreted protein"
"933","clust_0933","hypothetical protein"
"934","clust_0934","hypothetical protein"
"935","clust_0935","phage-associated protein"
"936","clust_0936","FIG00672113: hypothetical protein"
"937","clust_0937","FIG00672141: hypothetical protein"
"938","clust_0938","Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine"
"939","clust_0939","streptococcal hemagglutinin protein"
"940","clust_0940","FIG00423918: hypothetical protein"
"941","clust_0941","Alcohol dehydrogenase (EC 1.1.1.1)"
"942","clust_0942","Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine"
"943","clust_0943","FIG00425976: hypothetical protein"
"944","clust_0944","Glycosyltransferase"
"945","clust_0945","hypothetical protein"
"946","clust_0946","Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)"
"947","clust_0947","hydrolase, haloacid dehalogenase-like family"
"948","clust_0948","N-acetyl-L,L-diaminopimelate deacetylase (EC 3.5.1.47)"
"949","clust_0949","transcriptional regulator, XRE family"
"950","clust_0950","N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)"
"951","clust_0951","Uncharacterized protein CPE0188"
"952","clust_0952","FIG00672145: hypothetical protein"
"953","clust_0953","Alpha-mannosidase (EC 3.2.1.24)"
"954","clust_0954","competence protein"
"955","clust_0955","LSU ribosomal protein L32p"
"956","clust_0956","periplasmic binding protein/LacI transcriptional regulator"
"957","clust_0957","Neopullulanase (EC 3.2.1.135)"
"958","clust_0958","FIG00672532: hypothetical protein"
"959","clust_0959","O-antigen export system permease protein"
"960","clust_0960","hypothetical protein"
"961","clust_0961","Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)"
"962","clust_0962","Substrate-specific component YkoE of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine"
"963","clust_0963","Plasmid stabilization system antitoxin protein"
"964","clust_0964","hypothetical protein"
"965","clust_0965","L-fucose mutarotase"
"966","clust_0966","FIG00423867: hypothetical protein"
"967","clust_0967","FIG00672237: hypothetical protein"
"968","clust_0968","Acetyltransferase (EC 2.3.1.-)"
"969","clust_0969","ATPase component STY3233 of energizing module of queuosine-regulated ECF transporter"
"970","clust_0970","ATPase component STY3232 of energizing module of queuosine-regulated ECF transporter"
"971","clust_0971","Transmembrane component STY3231 of energizing module of queuosine-regulated ECF transporter"
"972","clust_0972","Substrate-specific component STY3230 of queuosine-regulated ECF transporter"
"973","clust_0973","FIG00671937: hypothetical protein"
"974","clust_0974","Lactaldehyde reductase (EC 1.1.1.77)"
"975","clust_0975","L-fuconate dehydratase (EC 4.2.1.68)"
"976","clust_0976","dehydrogenase clustered with L-fuconate utilization genes"
"977","clust_0977","transporter, major facilitator family protein"
"978","clust_0978","FIG00425541: hypothetical protein"
"979","clust_0979","Dihydrodipicolinate synthase (EC 4.2.1.52)"
"980","clust_0980","hypothetical protein"
"981","clust_0981","Putative homoserine kinase type II, PnuC-associated, THI-regulated branch"
"982","clust_0982","ABC transporter substrate-binding protein"
"983","clust_0983","Cell division protein MraZ"
"984","clust_0984","Peptidoglycan interpeptide bridge formation enzyme"
"985","clust_0985","Glycosyltransferase (EC 2.4.1.-)"
"986","clust_0986","dTDP-rhamnosyl transferase RfbF (EC 2.-.-.-)"
"987","clust_0987","Alpha-L-Rha alpha-1,2-L-rhamnosyltransferase/alpha-L-Rha alpha-1,3-L- rhamnosyltransferase (EC 2.4.1.-)"
"988","clust_0988","putative LPS biosynthesis related glycosyltransferase"
"989","clust_0989","UDP-glucose 4-epimerase (EC 5.1.3.2)"
"990","clust_0990","dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) / dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)"
"991","clust_0991","Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)"
"992","clust_0992","Adenosylhomocysteinase (EC 3.3.1.1)"
"993","clust_0993","possible chlorohydrolase-like protein"
"994","clust_0994","FIG00424992: hypothetical protein"
"995","clust_0995","5'-methylthioadenosine nucleosidase (EC 3.2.2.16) / S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)"
"996","clust_0996","probable amino-acid binding protein for ABC transporter system"
"997","clust_0997","COG0765: ABC-type amino acid transport system, permease component"
"998","clust_0998","Cadmium resistance protein"
"999","clust_0999","Sulfur carrier protein adenylyltransferase ThiF"
"1000","clust_1000","Thiazole biosynthesis protein ThiG"
"1001","clust_1001","FIG00671980: hypothetical protein"
"1002","clust_1002","Glycine oxidase ThiO (EC 1.4.3.19)"
"1003","clust_1003","ABC-type polar amino acid transport system, ATPase component"
"1004","clust_1004","prophage ps3 protein 01"
"1005","clust_1005","Hydroxymethylpyrimidine phosphate synthase ThiC / Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)"
"1006","clust_1006","FIG00672229: hypothetical protein"
"1007","clust_1007","COG4932: Predicted outer membrane protein"
"1008","clust_1008","Septum formation protein Maf"
"1009","clust_1009","Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)"
"1010","clust_1010","ABC transporter permease protein"
"1011","clust_1011","ABC transport protein BldKB"
"1012","clust_1012","Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)"
"1013","clust_1013","Chromosome (plasmid) partitioning protein ParA / Sporulation initiation inhibitor protein Soj"
"1014","clust_1014","Transcriptional regulator, GntR family"
"1015","clust_1015","Gluconokinase (EC 2.7.1.12)"
"1016","clust_1016","Gluconate transporter family protein"
"1017","clust_1017","6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"
"1018","clust_1018","FIG00671976: hypothetical protein"
"1019","clust_1019","Beta-hexosaminidase (EC 3.2.1.52)"
"1020","clust_1020","glucokinase"
"1021","clust_1021","Predicted N-acetyl-glucosamine kinase 2, ROK family (EC 2.7.1.59)"
"1022","clust_1022","Protein of unknown function DUF81"
"1023","clust_1023","Prevent host death protein, Phd antitoxin"
"1024","clust_1024","FIG00672093: hypothetical protein"
"1025","clust_1025","Trehalose synthase (EC 5.4.99.16)"
"1026","clust_1026","FIG00672522: hypothetical protein"
"1027","clust_1027","CRISPR-associated helicase Cas3, protein"
"1028","clust_1028","corresponds to STY3070 from Accession AL513382: Salmonella typhi CT18"
"1029","clust_1029","CRISPR-associated protein"
"1030","clust_1030","CRISPR-associated protein, CT1975 family"
"1031","clust_1031","CRISPR-associated protein, CT1976"
"1032","clust_1032","CRISPR-associated protein, CT1974"
"1033","clust_1033","hypothetical protein"
"1034","clust_1034","FIG00672189: hypothetical protein"
"1035","clust_1035","SSU ribosomal protein S3p (S3e)"
"1036","clust_1036","Arogenate dehydrogenase (EC 1.3.1.43)"
"1037","clust_1037","FIG00672291: hypothetical protein"
"1038","clust_1038","DNA-damage-inducible protein J"
"1039","clust_1039","hypothetical protein"
"1040","clust_1040","Transposase for IS3509a"
"1041","clust_1041","Plasmid stabilization system antitoxin protein"
"1042","clust_1042","CRISPR-associated protein Cas1"
"1043","clust_1043","CRISPR-associated protein, Cas2"
"1044","clust_1044","Sortase A, LPXTG specific"
"1045","clust_1045","FIG00672534: hypothetical protein"
"1046","clust_1046","FIG00672064: hypothetical protein"
"1047","clust_1047","Sortase A, LPXTG specific"
"1048","clust_1048","hypothetical protein"
"1049","clust_1049","FIG00672137: hypothetical protein"
"1050","clust_1050","Huntingtin interacting protein E-like protein"
"1051","clust_1051","hypothetical protein"
"1052","clust_1052","Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)"
"1053","clust_1053","L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)"
"1054","clust_1054","LSU ribosomal protein L2p (L8e)"
"1055","clust_1055","SSU ribosomal protein S19p (S15e)"
"1056","clust_1056","Glucosyl tranferase II"
"1057","clust_1057","hypothetical protein"
"1058","clust_1058","sugar binding-protein dependent transporter system permease"
"1059","clust_1059","N-Acetyl-D-glucosamine ABC transport system, permease protein 1"
"1060","clust_1060","hypothetical protein"
"1061","clust_1061","DNA-damage-inducible protein J"
"1062","clust_1062","putative transcription regulator"
"1063","clust_1063","Phage-related protein"
"1064","clust_1064","Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)"
"1065","clust_1065","ATPase of the AAA superfamily"
"1066","clust_1066","SSU ribosomal protein S11p (S14e)"
"1067","clust_1067","Abortive infection protein AbiGII"
"1068","clust_1068","Substrate-specific component TrpP of tryptophan ECF transporter"
"1069","clust_1069","MSM (multiple sugar metabolism) operon regulatory protein"
"1070","clust_1070","N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein"
"1071","clust_1071","archaeal ATPase, fused to C-terminal DUF234 domain"
"1072","clust_1072","hypothetical protein"
"1073","clust_1073","1,4-beta-N-acetylmuramidase"
"1074","clust_1074","hypothetical protein"
"1075","clust_1075","FIG00672044: hypothetical protein"
"1076","clust_1076","prevent-host-death family protein"
"1077","clust_1077","hypothetical protein"
"1078","clust_1078","FIG00672127: hypothetical protein"
"1079","clust_1079","FIG00672167: hypothetical protein"
"1080","clust_1080","ABC transporter ATP-binding protein"
"1081","clust_1081","FIG00672418: hypothetical protein"
"1082","clust_1082","hypothetical protein"
"1083","clust_1083","FIG00672278: hypothetical protein"
"1084","clust_1084","Ribose ABC transport system, high affinity permease RbsD (TC 3.A.1.2.1)"
"1085","clust_1085","Ribose ABC transport system, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)"
"1086","clust_1086","Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)"
"1087","clust_1087","ABC-type sugar transport system, ATP-binding protein (EC 3.6.3.17)"
"1088","clust_1088","SSU ribosomal protein S10p (S20e)"
"1089","clust_1089","Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)"
"1090","clust_1090","hypothetical protein"
"1091","clust_1091","hypothetical protein"
"1092","clust_1092","hydrolase, NUDIX family"
"1093","clust_1093","hypothetical protein"
"1094","clust_1094","MutT/nudix family protein"
"1095","clust_1095","Listeria/Bacterioides repeat protein"
"1096","clust_1096","hypothetical protein"
"1097","clust_1097","abortive infection protein AbiGI"
"1098","clust_1098","hypothetical protein"
"1099","clust_1099","Predicted rhamnose oligosaccharide ABC transport system, permease component 2"
"1100","clust_1100","alpha-amylase"
"1101","clust_1101","FIG00672278: hypothetical protein"
"1102","clust_1102","FIG00672556: hypothetical protein"
"1103","clust_1103","FIG00672440: hypothetical protein"
"1104","clust_1104","Cell filamentation protein fic"
"1105","clust_1105","Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)"
"1106","clust_1106","narrowly conserved hypothetical protein with possible DNA interaction motif"
"1107","clust_1107","Dephospho-CoA kinase (EC 2.7.1.24)"
"1108","clust_1108","Phage major capsid protein"
"1109","clust_1109","hypothetical protein"
"1110","clust_1110","Hypothetical SAV0801 homolog in superantigen- encoding pathogenicity islands SaPI"
"1111","clust_1111","hypothetical protein"
"1112","clust_1112","YoeB toxin protein"
"1113","clust_1113","ABC transporter, ATP-binding protein"
"1114","clust_1114","extracellular solute-binding protein, family 1"
"1115","clust_1115","HigA protein (antitoxin to HigB)"
"1116","clust_1116","hypothetical protein"
"1117","clust_1117","hypothetical protein"
"1118","clust_1118","hypothetical protein"
"1119","clust_1119","hypothetical protein"
"1120","clust_1120","FIG00775801: hypothetical protein"
"1121","clust_1121","hypothetical protein"
"1122","clust_1122","hypothetical protein"
"1123","clust_1123","hypothetical protein"
"1124","clust_1124","hypothetical protein"
"1125","clust_1125","hypothetical protein"
"1126","clust_1126","YafQ toxin protein"
"1127","clust_1127","hypothetical protein"
"1128","clust_1128","mrr restriction endonuclease"
"1129","clust_1129","hypothetical protein"
"1130","clust_1130","FIG00752635: hypothetical protein"
"1131","clust_1131","hypothetical protein"
"1132","clust_1132","hypothetical protein"
"1133","clust_1133","hypothetical protein"
"1134","clust_1134","hypothetical protein"
"1135","clust_1135","hypothetical protein"
"1136","clust_1136","hypothetical protein"
"1137","clust_1137","hypothetical protein"
"1138","clust_1138","Na+/H+ antiporter"
"1139","clust_1139","rRNA biogenesis protein rrp5, putative"
"1140","clust_1140","Alpha-L-fucosidase (EC 3.2.1.51)"
"1141","clust_1141","Beta-galactosidase (EC 3.2.1.23)"
"1142","clust_1142","ABC-type sugar transport system, permease component"
"1143","clust_1143","ABC transporter, solute-binding protein"
"1144","clust_1144","hypothetical protein"
"1145","clust_1145","Predicted cell-wall-anchored protein SasA (LPXTG motif)"
"1146","clust_1146","Xylose repressor XylR (ROK family)"
"1147","clust_1147","Xylulose kinase (EC 2.7.1.17)"
"1148","clust_1148","Galactokinase (EC 2.7.1.6)"
"1149","clust_1149","FIG01114224: hypothetical protein"
"1150","clust_1150","transcription regulator, probable"
"1151","clust_1151","Zeta toxin"
"1152","clust_1152","FIG00424915: hypothetical protein"
"1153","clust_1153","hypothetical protein"
"1154","clust_1154","FIG00672247: hypothetical protein"
"1155","clust_1155","N-acylglucosamine 2-epimerase (EC 5.1.3.8)"
"1156","clust_1156","hypothetical protein"
"1157","clust_1157","hypothetical protein"
"1158","clust_1158","hypothetical protein"
"1159","clust_1159","hypothetical protein"
"1160","clust_1160","Sialidase (EC 3.2.1.18)"
"1161","clust_1161","hypothetical protein"
"1162","clust_1162","Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)"
"1163","clust_1163","Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)"
"1164","clust_1164","hypothetical protein"
"1165","clust_1165","Phage protein"
"1166","clust_1166","FIG006036: phage encoded DNA polymerase I (EC 2.7.7.7)"
"1167","clust_1167","Lyzozyme M1 (1,4-beta-N-acetylmuramidase)"
"1168","clust_1168","Phage integrase (Site-specific recombinase)"
"1169","clust_1169","hypothetical protein"
"1170","clust_1170","ABC-type sugar transport systems, permease components"
"1171","clust_1171","hypothetical protein"
"1172","clust_1172","hypothetical protein"
"1173","clust_1173","hypothetical protein"
"1174","clust_1174","Thiaminase II (EC 3.5.99.2)"
"1175","clust_1175","Transcriptional regulator, MerR family"
"1176","clust_1176","Translation initiation factor 2"
"1177","clust_1177","hypothetical protein"
"1178","clust_1178","transcriptional regulator"
"1179","clust_1179","Maltodextrin glucosidase (EC 3.2.1.20)"
"1180","clust_1180","N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein"
"1181","clust_1181","Inositol transport system permease protein"
"1182","clust_1182","Inositol transport system permease protein"
"1183","clust_1183","oxidoreductase of aldo/keto reductase family, subgroup 1"
"1184","clust_1184","L-arabinose isomerase (EC 5.3.1.4)"
"1185","clust_1185","L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)"
"1186","clust_1186","Ribulokinase (EC 2.7.1.16)"
"1187","clust_1187","hypothetical protein"
"1188","clust_1188","L-arabinose transport system permease protein (TC 3.A.1.2.2)"
"1189","clust_1189","L-arabinose-binding periplasmic protein precursor AraF (TC 3.A.1.2.2)"
"1190","clust_1190","Transcriptional regulator/sugar kinase"
"1191","clust_1191","ABC transporter, ATP-binding protein"
"1192","clust_1192","nucleotidyltransferase family protein"
"1193","clust_1193","probable solute binding protein of ABC transporter system"
"1194","clust_1194","hypothetical protein"
"1195","clust_1195","hypothetical protein"
"1196","clust_1196","UPF0331 protein MJ0127"
"1197","clust_1197","hypothetical protein"
"1198","clust_1198","FIG00632709: hypothetical protein"
"1199","clust_1199","Phage portal protein"
"1200","clust_1200","hypothetical protein"
"1201","clust_1201","FIG00672075: hypothetical protein"
"1202","clust_1202","FIG00672017: hypothetical protein"
"1203","clust_1203","hypothetical protein"
"1204","clust_1204","Phage protein"
"1205","clust_1205","conserved hypothetical protein"
"1206","clust_1206","DNA helicase, phage-associated"
"1207","clust_1207","FIG00672546: hypothetical protein"
"1208","clust_1208","hypothetical protein"
"1209","clust_1209","hypothetical protein"
"1210","clust_1210","hypothetical protein"
"1211","clust_1211","hypothetical protein"
"1212","clust_1212","hypothetical protein"
"1213","clust_1213","PTS system, cellobiose-specific IIC component (EC 2.7.1.69)"
"1214","clust_1214","sugar transporter sugar binding protein"
"1215","clust_1215","hypothetical protein"
"1216","clust_1216","sugar permease of ABC transporter system"
"1217","clust_1217","Crp-family transcriptional regulator"
"1218","clust_1218","FIG01279648: hypothetical protein"
"1219","clust_1219","hypothetical protein"
"1220","clust_1220","hypothetical protein"
"1221","clust_1221","hypothetical protein"
"1222","clust_1222","Protein YidD"
"1223","clust_1223","hypothetical protein"
"1224","clust_1224","hypothetical protein"
"1225","clust_1225","hypothetical protein"
"1226","clust_1226","hypothetical protein"
"1227","clust_1227","DNA polymerase III alpha subunit (EC 2.7.7.7)"
"1228","clust_1228","Predicted P-loop ATPase"
"1229","clust_1229","FIG00672237: hypothetical protein"
"1230","clust_1230","hypothetical protein"
"1231","clust_1231","FIG00672347: hypothetical protein"
"1232","clust_1232","HNH endonuclease domain protein"
"1233","clust_1233","FIG00519798: hypothetical protein"
"1234","clust_1234","Adenine-specific methyltransferase (EC 2.1.1.72)"
"1235","clust_1235","virulence-related protein"
"1236","clust_1236","FIG00672473: hypothetical protein"
"1237","clust_1237","FIG00672392: hypothetical protein"
"1238","clust_1238","Phage terminase large subunit"
"1239","clust_1239","Prophage Clp protease-like protein"
"1240","clust_1240","Phage protein"
"1241","clust_1241","Phage major tail protein"
"1242","clust_1242","FIG01032287: hypothetical protein"
"1243","clust_1243","FIG00672565: hypothetical protein"
"1244","clust_1244","FIG00672433: hypothetical protein"
"1245","clust_1245","hypothetical protein"
"1246","clust_1246","hypothetical protein"
"1247","clust_1247","hypothetical protein"
"1248","clust_1248","periplasmic binding protein/LacI transcriptional regulator"
"1249","clust_1249","Putative cytoplasmic protein"
"1250","clust_1250","Putative inner membrane protein"
"1251","clust_1251","Choloylglycine hydrolase (EC 3.5.1.24)"
"1252","clust_1252","hypothetical protein"
"1253","clust_1253","hypothetical protein"
"1254","clust_1254","hypothetical protein"
"1255","clust_1255","hypothetical protein"
"1256","clust_1256","2-keto-3-deoxygluconate permease (KDG permease)"
"1257","clust_1257","3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)"
"1258","clust_1258","hypothetical protein"
"1259","clust_1259","serine_threonine protein kinase"
"1260","clust_1260","FIG00648426: hypothetical protein"
"1261","clust_1261","Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)"
"1262","clust_1262","hypothetical protein"
"1263","clust_1263","ABC-type antimicrobial peptide transport system, ATPase component"
"1264","clust_1264","hypothetical protein"
"1265","clust_1265","hypothetical protein"
"1266","clust_1266","hypothetical protein"
"1267","clust_1267","hypothetical protein"
"1268","clust_1268","hypothetical protein"
"1269","clust_1269","ATPase"
"1270","clust_1270","competence protein"
"1271","clust_1271","hypothetical protein"
"1272","clust_1272","Cell division protein MraZ"
"1273","clust_1273","O-antigen export system, permease protein"
"1274","clust_1274","Lipopolysaccharide cholinephosphotransferase LicD1 (EC 2.7.8.-)"
"1275","clust_1275","Cholinephosphate cytidylyltransferase (EC 2.7.7.15) / Choline kinase (EC 2.7.1.32)"
"1276","clust_1276","Aspartate aminotransferase (EC 2.6.1.1)"
"1277","clust_1277","hypothetical protein"
"1278","clust_1278","FIG00423867: hypothetical protein"
"1279","clust_1279","protein of unknown function DUF891"
"1280","clust_1280","FIG00672466: hypothetical protein"
"1281","clust_1281","FIG00672014: hypothetical protein"
"1282","clust_1282","LSU ribosomal protein L14p (L23e)"
"1283","clust_1283","SSU ribosomal protein S14p (S29e) // Zinc- dependent"
"1284","clust_1284","Aspartate racemase (EC 5.1.1.13)"
"1285","clust_1285","probably carbamoylphosphate synthase large subunit, evidenced by COGnitor"
"1286","clust_1286","RNA polymerase sigma-54 factor RpoN"
"1287","clust_1287","Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)"
"1288","clust_1288","FIG00671957: hypothetical protein"
"1289","clust_1289","DNA packaging protein, putative"
"1290","clust_1290","Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)"
"1291","clust_1291","FIG00672093: hypothetical protein"
"1292","clust_1292","FIG00672012: hypothetical protein"
"1293","clust_1293","hypothetical protein"
"1294","clust_1294","Exonuclease SbcC"
"1295","clust_1295","Choline binding protein A"
"1296","clust_1296","hypothetical protein"
"1297","clust_1297","ABC transporter ATP binding protein"
"1298","clust_1298","hypothetical protein"
"1299","clust_1299","Recombinase"
"1300","clust_1300","hypothetical protein"
"1301","clust_1301","hypothetical protein"
"1302","clust_1302","hypothetical protein"
"1303","clust_1303","hypothetical protein"
"1304","clust_1304","hypothetical protein"
"1305","clust_1305","hypothetical protein"
"1306","clust_1306","hypothetical protein"
"1307","clust_1307","hypothetical protein"
"1308","clust_1308","hypothetical protein"
"1309","clust_1309","Similar to tetracycline resistance protein"
"1310","clust_1310","NADH-dependent butanol dehydrogenase A (EC 1.1.1.-)"
"1311","clust_1311","hypothetical protein"
"1312","clust_1312","Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)"
"1313","clust_1313","Fructokinase (EC 2.7.1.4)"
"1314","clust_1314","Phosphoribosylanthranilate isomerase (EC 5.3.1.24)"
"1315","clust_1315","ATPase component STY3233 of energizing module of queuosine-regulated ECF transporter"
"1316","clust_1316","ATPase component of general energizing module of ECF transporters"
"1317","clust_1317","Transmembrane component STY3231 of energizing module of queuosine-regulated ECF transporter"
"1318","clust_1318","Hypothetical sugar kinase in cluster with indigoidine synthase indA , PfkB family of kinases"
"1319","clust_1319","hypothetical protein"
"1320","clust_1320","hypothetical protein"
"1321","clust_1321","Type II restriction endonuclease"
"1322","clust_1322","hypothetical protein"
"1323","clust_1323","Endoglucanase E precursor (EgE) (Endo-1,4-beta- glucanase E) (Cellulase E)"
"1324","clust_1324","hypothetical protein"
"1325","clust_1325","hypothetical protein"
