cds_id	ortho_id	full_id	short_id	seq_id	strain_id	id_short
GV19|SEQ00297	clust_2620	fid|42627453|locus|VBIGarVag39333_0298|   FIG00672278: hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42627453|locus|VBIGarVag39333_0298	SEQ00297	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00313	clust_2621	fid|42627485|locus|VBIGarVag39333_0314|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42627485|locus|VBIGarVag39333_0314	SEQ00313	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00340	clust_2622	fid|42627543|locus|VBIGarVag39333_0341|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42627543|locus|VBIGarVag39333_0341	SEQ00340	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00360	clust_2623	fid|42627583|locus|VBIGarVag39333_0361|   Regulator of polyketide synthase expression   [Gardnerella vaginalis ATCC 14019]	fid|42627583|locus|VBIGarVag39333_0361	SEQ00360	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00417	clust_2624	fid|42627697|locus|VBIGarVag39333_0418|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42627697|locus|VBIGarVag39333_0418	SEQ00417	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00606	clust_2625	fid|42628096|locus|VBIGarVag39333_0607|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42628096|locus|VBIGarVag39333_0607	SEQ00606	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00613	clust_2626	fid|42628110|locus|VBIGarVag39333_0614|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42628110|locus|VBIGarVag39333_0614	SEQ00613	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00617	clust_2627	fid|42628118|locus|VBIGarVag39333_0618|   FIG00672464: hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42628118|locus|VBIGarVag39333_0618	SEQ00617	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00664	clust_2628	fid|42628214|locus|VBIGarVag39333_0665|   CRISPR-associated helicase Cas3, protein   [Gardnerella vaginalis ATCC 14019]	fid|42628214|locus|VBIGarVag39333_0665	SEQ00664	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00673	clust_2629	fid|42628232|locus|VBIGarVag39333_0674|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42628232|locus|VBIGarVag39333_0674	SEQ00673	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00705	clust_2630	fid|42628304|locus|VBIGarVag39333_0706|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42628304|locus|VBIGarVag39333_0706	SEQ00705	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00735	clust_2631	fid|42628368|locus|VBIGarVag39333_0736|   5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)   [Gardnerella vaginalis ATCC 14019]	fid|42628368|locus|VBIGarVag39333_0736	SEQ00735	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00761	clust_2632	fid|42628420|locus|VBIGarVag39333_0762|   Preprotein translocase subunit SecG (TC 3.A.5.1.1)   [Gardnerella vaginalis ATCC 14019]	fid|42628420|locus|VBIGarVag39333_0762	SEQ00761	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00774	clust_2633	fid|42628446|locus|VBIGarVag39333_0775|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42628446|locus|VBIGarVag39333_0775	SEQ00774	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00814	clust_2634	fid|42628527|locus|VBIGarVag39333_0815|   UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)   [Gardnerella vaginalis ATCC 14019]	fid|42628527|locus|VBIGarVag39333_0815	SEQ00814	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00875	clust_2635	fid|42628655|locus|VBIGarVag39333_0876|   FIG00672106: hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42628655|locus|VBIGarVag39333_0876	SEQ00875	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00926	clust_2636	fid|42628757|locus|VBIGarVag39333_0927|   1,4-beta-N-acetylmuramidase   [Gardnerella vaginalis ATCC 14019]	fid|42628757|locus|VBIGarVag39333_0927	SEQ00926	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00946	clust_2637	fid|42628797|locus|VBIGarVag39333_0947|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42628797|locus|VBIGarVag39333_0947	SEQ00946	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00973	clust_2638	fid|42628857|locus|VBIGarVag39333_0974|   FIG00672056: hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42628857|locus|VBIGarVag39333_0974	SEQ00973	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ00990	clust_2639	fid|42628891|locus|VBIGarVag39333_0991|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42628891|locus|VBIGarVag39333_0991	SEQ00990	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ01004	clust_2640	fid|42628919|locus|VBIGarVag39333_1005|   3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)   [Gardnerella vaginalis ATCC 14019]	fid|42628919|locus|VBIGarVag39333_1005	SEQ01004	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ01011	clust_2641	fid|42628933|locus|VBIGarVag39333_1012|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42628933|locus|VBIGarVag39333_1012	SEQ01011	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ01016	clust_2642	fid|42628943|locus|VBIGarVag39333_1017|   Lipid A export ATP-binding/permease protein MsbA   [Gardnerella vaginalis ATCC 14019]	fid|42628943|locus|VBIGarVag39333_1017	SEQ01016	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ01027	clust_2643	fid|42628965|locus|VBIGarVag39333_1028|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42628965|locus|VBIGarVag39333_1028	SEQ01027	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ01090	clust_2644	fid|42629093|locus|VBIGarVag39333_1091|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42629093|locus|VBIGarVag39333_1091	SEQ01090	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ01110	clust_2645	fid|42629133|locus|VBIGarVag39333_1112|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42629133|locus|VBIGarVag39333_1112	SEQ01110	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ01119	clust_2646	fid|42629151|locus|VBIGarVag39333_1121|   SSU ribosomal protein S16p   [Gardnerella vaginalis ATCC 14019]	fid|42629151|locus|VBIGarVag39333_1121	SEQ01119	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ01128	clust_2647	fid|42629169|locus|VBIGarVag39333_1130|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42629169|locus|VBIGarVag39333_1130	SEQ01128	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ01171	clust_2648	fid|42629257|locus|VBIGarVag39333_1173|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42629257|locus|VBIGarVag39333_1173	SEQ01171	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ01194	clust_2649	fid|42629305|locus|VBIGarVag39333_1196|   FIG00672175: hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42629305|locus|VBIGarVag39333_1196	SEQ01194	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ01198	clust_2650	fid|42629313|locus|VBIGarVag39333_1200|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42629313|locus|VBIGarVag39333_1200	SEQ01198	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ01295	clust_2651	fid|42629527|locus|VBIGarVag39333_1298|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42629527|locus|VBIGarVag39333_1298	SEQ01295	Gardnerella vaginalis ATCC 14019	GV19
GV19|SEQ01317	clust_2652	fid|42629571|locus|VBIGarVag39333_1320|   hypothetical protein   [Gardnerella vaginalis ATCC 14019]	fid|42629571|locus|VBIGarVag39333_1320	SEQ01317	Gardnerella vaginalis ATCC 14019	GV19
GV02|SEQ00033	clust_2653	fid|85496821|locus|VBIGarVag242669_0033|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85496821|locus|VBIGarVag242669_0033	SEQ00033	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00035	clust_2654	fid|85496825|locus|VBIGarVag242669_0035|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85496825|locus|VBIGarVag242669_0035	SEQ00035	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00088	clust_2655	fid|85496934|locus|VBIGarVag242669_0088|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85496934|locus|VBIGarVag242669_0088	SEQ00088	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00188	clust_2656	fid|85497144|locus|VBIGarVag242669_0188|   Sialidase (EC 3.2.1.18)   [Gardnerella vaginalis 00703C2mash]	fid|85497144|locus|VBIGarVag242669_0188	SEQ00188	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00194	clust_2657	fid|85497158|locus|VBIGarVag242669_0194|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85497158|locus|VBIGarVag242669_0194	SEQ00194	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00291	clust_2658	fid|85497357|locus|VBIGarVag242669_0291|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85497357|locus|VBIGarVag242669_0291	SEQ00291	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00337	clust_2659	fid|85497450|locus|VBIGarVag242669_0337|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85497450|locus|VBIGarVag242669_0337	SEQ00337	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00354	clust_2660	fid|85497484|locus|VBIGarVag242669_0354|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85497484|locus|VBIGarVag242669_0354	SEQ00354	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00365	clust_2661	fid|85497508|locus|VBIGarVag242669_0365|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85497508|locus|VBIGarVag242669_0365	SEQ00365	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00367	clust_2662	fid|85497512|locus|VBIGarVag242669_0367|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85497512|locus|VBIGarVag242669_0367	SEQ00367	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00388	clust_2663	fid|85497555|locus|VBIGarVag242669_0388|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85497555|locus|VBIGarVag242669_0388	SEQ00388	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00394	clust_2664	fid|85497567|locus|VBIGarVag242669_0394|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85497567|locus|VBIGarVag242669_0394	SEQ00394	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00395	clust_2665	fid|85497569|locus|VBIGarVag242669_0395|   SSU ribosomal protein S16p   [Gardnerella vaginalis 00703C2mash]	fid|85497569|locus|VBIGarVag242669_0395	SEQ00395	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00418	clust_2666	fid|85497623|locus|VBIGarVag242669_0418|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85497623|locus|VBIGarVag242669_0418	SEQ00418	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00420	clust_2667	fid|85497628|locus|VBIGarVag242669_0420|   Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)   [Gardnerella vaginalis 00703C2mash]	fid|85497628|locus|VBIGarVag242669_0420	SEQ00420	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00437	clust_2668	fid|85497663|locus|VBIGarVag242669_0437|   Exonuclease SbcC   [Gardnerella vaginalis 00703C2mash]	fid|85497663|locus|VBIGarVag242669_0437	SEQ00437	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00441	clust_2669	fid|85497671|locus|VBIGarVag242669_0441|   Peptidase E    [Gardnerella vaginalis 00703C2mash]	fid|85497671|locus|VBIGarVag242669_0441	SEQ00441	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00442	clust_2670	fid|85497673|locus|VBIGarVag242669_0442|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85497673|locus|VBIGarVag242669_0442	SEQ00442	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00443	clust_2671	fid|85497675|locus|VBIGarVag242669_0443|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85497675|locus|VBIGarVag242669_0443	SEQ00443	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00444	clust_2672	fid|85497677|locus|VBIGarVag242669_0444|   FIG01119645: hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85497677|locus|VBIGarVag242669_0444	SEQ00444	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00495	clust_2673	fid|85497787|locus|VBIGarVag242669_0495|   Inosine-uridine preferring nucleoside hydrolase    [Gardnerella vaginalis 00703C2mash]	fid|85497787|locus|VBIGarVag242669_0495	SEQ00495	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00563	clust_2674	fid|85497929|locus|VBIGarVag242669_0563|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85497929|locus|VBIGarVag242669_0563	SEQ00563	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00568	clust_2675	fid|85497942|locus|VBIGarVag242669_0568|   UDP-glucose 4-epimerase (EC 5.1.3.2)   [Gardnerella vaginalis 00703C2mash]	fid|85497942|locus|VBIGarVag242669_0568	SEQ00568	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00592	clust_2676	fid|85497994|locus|VBIGarVag242669_0592|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85497994|locus|VBIGarVag242669_0592	SEQ00592	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00604	clust_2677	fid|85498018|locus|VBIGarVag242669_0604|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85498018|locus|VBIGarVag242669_0604	SEQ00604	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00610	clust_2678	fid|85498032|locus|VBIGarVag242669_0610|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85498032|locus|VBIGarVag242669_0610	SEQ00610	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00613	clust_2679	fid|85498038|locus|VBIGarVag242669_0613|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85498038|locus|VBIGarVag242669_0613	SEQ00613	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00614	clust_2680	fid|85498040|locus|VBIGarVag242669_0614|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85498040|locus|VBIGarVag242669_0614	SEQ00614	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00681	clust_2681	fid|85498179|locus|VBIGarVag242669_0681|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85498179|locus|VBIGarVag242669_0681	SEQ00681	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00708	clust_2682	fid|85498240|locus|VBIGarVag242669_0708|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85498240|locus|VBIGarVag242669_0708	SEQ00708	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00757	clust_2683	fid|85498351|locus|VBIGarVag242669_0757|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85498351|locus|VBIGarVag242669_0757	SEQ00757	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00765	clust_2684	fid|85498367|locus|VBIGarVag242669_0765|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85498367|locus|VBIGarVag242669_0765	SEQ00765	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00768	clust_2685	fid|85498373|locus|VBIGarVag242669_0768|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85498373|locus|VBIGarVag242669_0768	SEQ00768	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00771	clust_2686	fid|85498379|locus|VBIGarVag242669_0771|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85498379|locus|VBIGarVag242669_0771	SEQ00771	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00773	clust_2687	fid|85498383|locus|VBIGarVag242669_0773|   FIG00672383: hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85498383|locus|VBIGarVag242669_0773	SEQ00773	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00786	clust_2688	fid|85498409|locus|VBIGarVag242669_0786|   Zinc ABC transporter, periplasmic-binding protein ZnuA   [Gardnerella vaginalis 00703C2mash]	fid|85498409|locus|VBIGarVag242669_0786	SEQ00786	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00791	clust_2689	fid|85498422|locus|VBIGarVag242669_0791|   Translation initiation factor 2   [Gardnerella vaginalis 00703C2mash]	fid|85498422|locus|VBIGarVag242669_0791	SEQ00791	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00833	clust_2690	fid|85498508|locus|VBIGarVag242669_0833|   Preprotein translocase subunit SecG (TC 3.A.5.1.1)   [Gardnerella vaginalis 00703C2mash]	fid|85498508|locus|VBIGarVag242669_0833	SEQ00833	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00842	clust_2691	fid|85498526|locus|VBIGarVag242669_0842|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85498526|locus|VBIGarVag242669_0842	SEQ00842	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00856	clust_2692	fid|85498554|locus|VBIGarVag242669_0856|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85498554|locus|VBIGarVag242669_0856	SEQ00856	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00881	clust_2693	fid|85498605|locus|VBIGarVag242669_0881|   Ribulose-phosphate 3-epimerase (EC 5.1.3.1)   [Gardnerella vaginalis 00703C2mash]	fid|85498605|locus|VBIGarVag242669_0881	SEQ00881	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ00993	clust_2694	fid|85498836|locus|VBIGarVag242669_0993|   Type I restriction-modification system, specificity subunit S    [Gardnerella vaginalis 00703C2mash]	fid|85498836|locus|VBIGarVag242669_0993	SEQ00993	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ01055	clust_2695	fid|85498966|locus|VBIGarVag242669_1055|   Exonuclease SbcC   [Gardnerella vaginalis 00703C2mash]	fid|85498966|locus|VBIGarVag242669_1055	SEQ01055	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ01068	clust_2696	fid|85498992|locus|VBIGarVag242669_1068|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85498992|locus|VBIGarVag242669_1068	SEQ01068	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ01074	clust_2697	fid|85499008|locus|VBIGarVag242669_1074|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85499008|locus|VBIGarVag242669_1074	SEQ01074	Gardnerella vaginalis 00703C2mash	GV02
GV02|SEQ01225	clust_2698	fid|85499327|locus|VBIGarVag242669_1225|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]	fid|85499327|locus|VBIGarVag242669_1225	SEQ01225	Gardnerella vaginalis 00703C2mash	GV02
GV21|SEQ00029	clust_2699	fid|183966690|locus|VBIGarVag274454_0029|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183966690|locus|VBIGarVag274454_0029	SEQ00029	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00235	clust_2700	fid|183967118|locus|VBIGarVag274454_0235|   Preprotein translocase subunit SecG (TC 3.A.5.1.1)   [Gardnerella vaginalis JCP7275]	fid|183967118|locus|VBIGarVag274454_0235	SEQ00235	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00337	clust_2701	fid|183967329|locus|VBIGarVag274454_0337|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183967329|locus|VBIGarVag274454_0337	SEQ00337	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00344	clust_2702	fid|183967343|locus|VBIGarVag274454_0344|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183967343|locus|VBIGarVag274454_0344	SEQ00344	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00345	clust_2703	fid|183967345|locus|VBIGarVag274454_0345|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183967345|locus|VBIGarVag274454_0345	SEQ00345	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00394	clust_2704	fid|183967451|locus|VBIGarVag274454_0395|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183967451|locus|VBIGarVag274454_0395	SEQ00394	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00395	clust_2705	fid|183967453|locus|VBIGarVag274454_0396|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183967453|locus|VBIGarVag274454_0396	SEQ00395	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00464	clust_2706	fid|183967597|locus|VBIGarVag274454_0465|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183967597|locus|VBIGarVag274454_0465	SEQ00464	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00522	clust_2707	fid|183967718|locus|VBIGarVag274454_0523|   ATP-dependent DNA helicase   [Gardnerella vaginalis JCP7275]	fid|183967718|locus|VBIGarVag274454_0523	SEQ00522	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00554	clust_2708	fid|183967786|locus|VBIGarVag274454_0555|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183967786|locus|VBIGarVag274454_0555	SEQ00554	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00560	clust_2709	fid|183967799|locus|VBIGarVag274454_0561|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183967799|locus|VBIGarVag274454_0561	SEQ00560	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00572	clust_2710	fid|183967824|locus|VBIGarVag274454_0573|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183967824|locus|VBIGarVag274454_0573	SEQ00572	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00573	clust_2711	fid|183967826|locus|VBIGarVag274454_0574|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183967826|locus|VBIGarVag274454_0574	SEQ00573	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00611	clust_2712	fid|183967910|locus|VBIGarVag274454_0612|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183967910|locus|VBIGarVag274454_0612	SEQ00611	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00614	clust_2713	fid|183967916|locus|VBIGarVag274454_0615|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183967916|locus|VBIGarVag274454_0615	SEQ00614	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00690	clust_2714	fid|183968079|locus|VBIGarVag274454_0691|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183968079|locus|VBIGarVag274454_0691	SEQ00690	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00742	clust_2715	fid|183968193|locus|VBIGarVag274454_0743|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183968193|locus|VBIGarVag274454_0743	SEQ00742	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00755	clust_2716	fid|183968220|locus|VBIGarVag274454_0756|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183968220|locus|VBIGarVag274454_0756	SEQ00755	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00762	clust_2717	fid|183968239|locus|VBIGarVag274454_0763|   FIG00672189: hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183968239|locus|VBIGarVag274454_0763	SEQ00762	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00781	clust_2718	fid|183968279|locus|VBIGarVag274454_0782|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183968279|locus|VBIGarVag274454_0782	SEQ00781	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00861	clust_2719	fid|183968457|locus|VBIGarVag274454_0862|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183968457|locus|VBIGarVag274454_0862	SEQ00861	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00889	clust_2720	fid|183968529|locus|VBIGarVag274454_0890|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183968529|locus|VBIGarVag274454_0890	SEQ00889	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00922	clust_2721	fid|183968608|locus|VBIGarVag274454_0923|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183968608|locus|VBIGarVag274454_0923	SEQ00922	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00923	clust_2722	fid|183968613|locus|VBIGarVag274454_0924|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183968613|locus|VBIGarVag274454_0924	SEQ00923	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00938	clust_2723	fid|183968649|locus|VBIGarVag274454_0939|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183968649|locus|VBIGarVag274454_0939	SEQ00938	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ00998	clust_2724	fid|183968792|locus|VBIGarVag274454_0999|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183968792|locus|VBIGarVag274454_0999	SEQ00998	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ01002	clust_2725	fid|183968801|locus|VBIGarVag274454_1003|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183968801|locus|VBIGarVag274454_1003	SEQ01002	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ01007	clust_2726	fid|183968813|locus|VBIGarVag274454_1008|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183968813|locus|VBIGarVag274454_1008	SEQ01007	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ01012	clust_2727	fid|183968826|locus|VBIGarVag274454_1013|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183968826|locus|VBIGarVag274454_1013	SEQ01012	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ01015	clust_2728	fid|183968836|locus|VBIGarVag274454_1016|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183968836|locus|VBIGarVag274454_1016	SEQ01015	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ01016	clust_2729	fid|183968839|locus|VBIGarVag274454_1017|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183968839|locus|VBIGarVag274454_1017	SEQ01016	Gardnerella vaginalis JCP7275	GV21
GV21|SEQ01019	clust_2730	fid|183968846|locus|VBIGarVag274454_1020|   hypothetical protein   [Gardnerella vaginalis JCP7275]	fid|183968846|locus|VBIGarVag274454_1020	SEQ01019	Gardnerella vaginalis JCP7275	GV21
